実質季節調整系列,,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,(単位:2011暦年連鎖価格、10億円),,,
"Real, Seasonally Adjusted Series",,,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,(Billions of Chained (2011) Yen),,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,開差,,交易利得,国内総所得,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,,,,純受取,受取,支払,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,Residual,,TradingGains/Losses,GDI,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,,,,Net,Receipt,Payment,,,,,,,,,,,,
1994/ 1- 3.,"425,124.3 ","242,777.8 ","238,696.1 ","202,101.3 ","24,842.4 ","60,025.5 ","3,808.5 ","70,584.9 ","44,414.2 ",-716.7 ,"-9,150.4 ","33,923.4 ","43,073.8 ","-11,461.8 ",,"19,874.3 ","444,998.6 ","4,091.9 ","14,298.9 ","10,207.0 ","449,090.5 ",,"443,858.2 ","330,416.5 ","113,558.0 ",,"126,390.7 ",,"421,479.9 ",,,
4- 6.,"423,053.3 ","243,981.6 ","239,859.9 ","203,056.2 ","26,021.0 ","59,815.9 ","-2,733.5 ","71,541.8 ","45,333.0 ",785.3 ,"-9,660.7 ","34,107.3 ","43,767.9 ","-12,031.1 ",,"19,239.7 ","442,293.0 ","3,807.5 ","14,215.1 ","10,407.6 ","446,100.4 ",,"441,938.5 ","325,870.0 ","116,379.3 ",,"128,006.4 ",,"424,773.3 ",,,
7- 9.,"427,848.1 ","245,595.9 ","241,455.6 ","204,427.1 ","28,366.1 ","59,719.6 ",-88.7 ,"72,019.8 ","43,682.1 ",975.1 ,"-10,343.9 ","34,735.6 ","45,079.6 ","-12,077.8 ",,"18,744.6 ","446,592.8 ","3,721.1 ","14,429.3 ","10,708.2 ","450,313.9 ",,"447,253.6 ","332,074.8 ","115,351.1 ",,"128,443.9 ",,"426,937.6 ",,,
10-12.,"426,084.1 ","245,469.7 ","241,287.3 ","204,091.9 ","27,078.9 ","60,856.7 ","-1,364.2 ","72,159.9 ","43,011.0 ","1,015.2 ","-10,601.3 ","34,897.7 ","45,498.9 ","-11,541.8 ",,"19,081.7 ","445,165.8 ","3,759.9 ","14,908.2 ","11,148.3 ","448,925.7 ",,"445,488.6 ","330,802.1 ","114,856.5 ",,"127,962.0 ",,"426,366.2 ",,,
1995/ 1- 3.,"430,980.6 ","247,743.6 ","243,498.9 ","206,081.2 ","26,096.3 ","62,540.7 ","2,259.1 ","73,636.2 ","41,095.6 ",-90.3 ,"-11,787.0 ","35,325.1 ","47,112.2 ","-10,513.6 ",,"19,550.8 ","450,531.4 ","3,916.5 ","15,339.9 ","11,423.4 ","454,447.9 ",,"451,370.1 ","337,656.3 ","113,731.9 ",,"127,218.2 ",,"428,445.1 ",,,
4- 6.,"435,477.9 ","249,925.8 ","245,611.4 ","207,982.9 ","25,299.7 ","64,942.2 ","1,062.5 ","73,962.4 ","42,827.8 ",258.2 ,"-12,579.4 ","35,877.0 ","48,456.3 ","-10,221.3 ",,"20,302.6 ","455,780.5 ","3,197.2 ","14,529.1 ","11,331.9 ","458,977.7 ",,"456,480.8 ","340,569.4 ","115,986.2 ",,"130,688.8 ",,"433,876.3 ",,,
7- 9.,"440,551.5 ","251,428.9 ","247,050.5 ","209,230.1 ","24,680.7 ","65,993.7 ","1,997.9 ","74,813.0 ","46,151.8 ",183.8 ,"-14,937.7 ","36,199.2 ","51,137.0 ","-9,760.6 ",,"21,210.5 ","461,762.0 ","4,460.5 ","18,157.4 ","13,696.9 ","466,222.5 ",,"463,443.8 ","343,596.3 ","120,057.0 ",,"134,279.6 ",,"438,097.0 ",,,
10-12.,"441,623.7 ","253,249.6 ","248,840.4 ","210,806.4 ","25,322.1 ","67,027.5 ","1,156.9 ","74,947.5 ","46,286.2 ",265.2 ,"-17,456.4 ","36,105.0 ","53,561.4 ","-9,174.9 ",,"21,854.5 ","463,478.2 ","4,766.7 ","18,757.1 ","13,990.4 ","468,244.9 ",,"466,449.1 ","346,259.7 ","120,369.7 ",,"136,074.0 ",,"439,921.1 ",,,
1996/ 1- 3.,"445,217.9 ","252,819.6 ","248,406.6 ","210,200.9 ","26,364.0 ","66,525.7 ","1,818.5 ","75,536.4 ","48,666.3 ",719.1 ,"-17,623.1 ","36,675.8 ","54,298.9 ","-9,608.7 ",,"21,324.0 ","466,541.8 ","5,324.8 ","11,675.5 ","6,350.7 ","471,866.6 ",,"470,128.5 ","346,861.4 ","123,557.9 ",,"138,587.3 ",,"442,634.1 ",,,
4- 6.,"450,745.8 ","255,883.2 ","251,458.5 ","212,998.9 ","27,716.5 ","68,678.8 ","3,024.6 ","75,584.7 ","48,046.6 ",238.5 ,"-19,275.0 ","36,655.3 ","55,930.3 ","-9,152.2 ",,"20,552.1 ","471,297.8 ","5,985.5 ","11,839.2 ","5,853.7 ","477,283.4 ",,"477,193.6 ","354,649.0 ","122,699.5 ",,"141,523.4 ",,"447,286.1 ",,,
7- 9.,"450,953.1 ","255,926.5 ","251,474.4 ","212,809.1 ","28,849.1 ","69,853.1 ","1,245.4 ","75,960.6 ","45,867.8 ",270.4 ,"-18,131.4 ","37,695.6 ","55,827.0 ","-8,888.4 ",,"19,693.2 ","470,646.3 ","5,608.8 ","11,260.7 ","5,651.8 ","476,255.1 ",,"476,121.5 ","355,238.1 ","120,964.6 ",,"141,805.6 ",,"449,152.3 ",,,
10-12.,"456,169.5 ","258,364.0 ","253,914.2 ","214,999.4 ","29,508.1 ","69,826.0 ","2,293.3 ","77,060.2 ","44,754.1 ",315.5 ,"-17,098.9 ","39,316.9 ","56,415.8 ","-8,852.8 ",,"19,232.2 ","475,401.7 ","5,713.3 ","11,431.3 ","5,718.0 ","481,115.0 ",,"480,201.6 ","359,229.3 ","121,007.6 ",,"141,345.3 ",,"453,349.8 ",,,
1997/ 1- 3.,"457,516.8 ","262,431.3 ","258,012.0 ","218,840.1 ","28,339.7 ","70,679.9 ",-310.6 ,"76,989.0 ","43,953.4 ",144.0 ,"-16,497.3 ","40,541.2 ","57,038.5 ","-8,212.8 ",,"18,775.9 ","476,292.6 ","6,343.9 ","12,248.5 ","5,904.6 ","482,636.5 ",,"480,631.4 ","360,567.3 ","120,059.6 ",,"140,506.9 ",,"457,227.2 ",,,
4- 6.,"454,455.6 ","255,956.3 ","251,629.6 ","212,385.8 ","25,315.4 ","70,906.1 ","2,333.7 ","77,125.4 ","44,014.0 ",43.5 ,"-13,673.5 ","42,268.7 ","55,942.2 ","-7,565.3 ",,"19,067.5 ","473,523.1 ","6,388.2 ","12,208.9 ","5,820.7 ","479,911.3 ",,"474,440.3 ","354,316.7 ","120,198.1 ",,"138,138.2 ",,"451,758.4 ",,,
7- 9.,"455,490.9 ","256,357.8 ","252,106.2 ","212,694.7 ","23,554.3 ","71,294.7 ","4,491.2 ","77,006.7 ","44,412.6 ",175.8 ,"-14,111.7 ","41,622.5 ","55,734.2 ","-7,690.6 ",,"19,174.9 ","474,665.8 ","5,417.0 ","11,410.6 ","5,993.6 ","480,082.8 ",,"476,137.7 ","355,658.3 ","120,553.3 ",,"137,356.5 ",,"450,703.5 ",,,
10-12.,"455,636.4 ","255,671.4 ","251,331.4 ","211,773.8 ","22,486.0 ","73,004.5 ","3,749.9 ","77,437.7 ","42,213.8 ",556.5 ,"-11,985.3 ","42,584.6 ","54,569.9 ","-7,498.2 ",,"19,763.8 ","475,400.2 ","6,623.3 ","13,013.9 ","6,390.6 ","482,023.5 ",,"474,207.1 ","355,143.3 ","119,094.4 ",,"136,232.7 ",,"451,326.3 ",,,
1998/ 1- 3.,"450,534.0 ","255,514.4 ","250,924.9 ","211,208.5 ","22,398.1 ","71,932.7 ","3,332.0 ","77,285.4 ","39,803.9 ",287.6 ,"-12,676.0 ","41,493.7 ","54,169.7 ","-7,344.1 ",,"20,471.8 ","471,005.8 ","6,318.3 ","12,350.3 ","6,032.0 ","477,324.1 ",,"469,790.1 ","353,320.3 ","116,433.2 ",,"132,790.3 ",,"446,776.1 ",,,
4- 6.,"448,653.9 ","255,253.6 ","250,381.8 ","210,516.1 ","21,902.6 ","71,274.2 ","1,499.0 ","77,939.7 ","39,416.5 ",222.0 ,"-11,055.7 ","40,698.1 ","51,753.8 ","-7,798.0 ",,"20,138.2 ","468,792.0 ","5,327.1 ","11,595.1 ","6,268.0 ","474,119.1 ",,"466,781.6 ","350,114.4 ","116,671.4 ",,"131,279.5 ",,"446,631.2 ",,,
7- 9.,"449,450.0 ","257,084.1 ","252,000.0 ","211,938.5 ","21,301.4 ","70,710.5 ",-275.3 ,"78,308.1 ","41,253.0 ",-110.2 ,"-11,040.1 ","40,771.8 ","51,811.9 ","-7,781.7 ",,"19,802.6 ","469,252.5 ","5,971.9 ","11,643.3 ","5,671.5 ","475,224.4 ",,"467,580.3 ","349,046.0 ","118,612.2 ",,"131,815.3 ",,"449,255.7 ",,,
10-12.,"452,941.8 ","256,659.9 ","251,440.7 ","211,222.3 ","20,625.8 ","68,601.1 ","2,504.6 ","78,796.0 ","45,562.8 ",-738.9 ,"-10,458.0 ","40,053.1 ","50,511.1 ","-8,611.4 ",,"20,110.7 ","473,052.5 ","5,435.5 ","9,929.4 ","4,493.9 ","478,488.0 ",,"471,090.3 ","348,426.9 ","122,885.7 ",,"132,912.5 ",,"450,537.0 ",,,
1999/ 1- 3.,"447,207.0 ","257,868.6 ","252,586.4 ","212,134.4 ","20,523.1 ","66,830.0 ","-3,417.8 ","79,739.5 ","45,785.8 ",-112.1 ,"-11,884.0 ","40,148.1 ","52,032.1 ","-8,126.2 ",,"20,990.9 ","468,197.8 ","4,801.7 ","9,743.7 ","4,942.0 ","472,999.5 ",,"466,133.1 ","342,060.9 ","124,419.0 ",,"131,142.6 ",,"449,789.8 ",,,
4- 6.,"448,736.5 ","258,192.8 ","252,749.7 ","212,053.1 ","21,999.7 ","67,333.1 ","-3,699.4 ","80,440.0 ","45,026.3 ",0.2 ,"-12,515.1 ","40,525.3 ","53,040.4 ","-8,041.1 ",,"20,501.0 ","469,237.5 ","5,907.2 ","10,038.9 ","4,131.8 ","475,144.7 ",,"468,113.3 ","343,981.8 ","124,460.3 ",,"132,296.3 ",,"451,507.5 ",,,
7- 9.,"451,268.8 ","260,121.0 ","254,492.8 ","213,533.0 ","22,327.2 ","66,968.0 ","-3,290.9 ","81,330.4 ","43,577.4 ",-19.5 ,"-12,228.4 ","42,205.3 ","54,433.7 ","-7,516.5 ",,"19,786.3 ","471,055.1 ","5,998.8 ","9,790.8 ","3,792.0 ","477,053.9 ",,"469,849.9 ","346,183.6 ","123,953.9 ",,"130,876.6 ",,"453,679.5 ",,,
10-12.,"451,523.0 ","260,567.0 ","254,968.6 ","213,769.9 ","21,310.5 ","67,880.5 ","-3,391.1 ","81,683.0 ","43,408.0 ",-474.6 ,"-12,864.9 ","43,200.7 ","56,065.6 ","-6,595.4 ",,"20,817.7 ","472,340.7 ","6,338.4 ","9,999.1 ","3,660.7 ","478,679.1 ",,"470,200.6 ","346,601.1 ","123,878.0 ",,"130,791.6 ",,"454,269.7 ",,,
2000/ 1- 3.,"459,690.5 ","262,496.1 ","257,143.6 ","215,680.8 ","21,351.0 ","70,551.2 ","-1,371.4 ","82,782.4 ","41,007.8 ",223.5 ,"-10,507.6 ","45,433.8 ","55,941.4 ","-6,842.5 ",,"19,177.6 ","478,868.1 ","6,058.4 ","10,395.4 ","4,337.0 ","484,926.5 ",,"476,206.7 ","353,245.6 ","123,121.5 ",,"131,475.2 ",,"460,256.8 ",,,
4- 6.,"460,967.1 ","261,764.4 ","256,741.9 ","215,047.6 ","21,802.1 ","69,379.5 ","1,052.6 ","83,747.6 ","40,821.0 ",56.6 ,"-11,273.2 ","46,873.9 ","58,147.1 ","-6,383.4 ",,"19,929.5 ","480,896.7 ","7,366.1 ","11,168.0 ","3,801.9 ","488,262.8 ",,"477,553.4 ","353,915.7 ","123,814.4 ",,"130,461.4 ",,"459,488.2 ",,,
7- 9.,"461,327.7 ","262,211.1 ","257,432.8 ","215,487.9 ","21,284.4 ","71,949.0 ",-987.7 ,"84,373.5 ","40,021.2 ",-61.2 ,"-11,994.8 ","47,633.3 ","59,628.1 ","-5,467.7 ",,"19,648.3 ","480,976.0 ","7,242.7 ","11,204.7 ","3,962.0 ","488,218.7 ",,"478,175.4 ","354,729.0 ","123,605.7 ",,"131,994.7 ",,"461,719.3 ",,,
10-12.,"465,818.9 ","265,563.3 ","260,827.2 ","218,591.4 ","21,828.3 ","74,215.2 ",191.3 ,"84,842.9 ","38,755.2 ",-95.0 ,"-14,418.2 ","47,410.1 ","61,828.2 ","-5,064.0 ",,"20,266.9 ","486,085.8 ","7,317.9 ","11,655.1 ","4,337.2 ","493,403.7 ",,"484,828.9 ","362,026.5 ","122,842.6 ",,"133,726.5 ",,"465,186.6 ",,,
2001/ 1- 3.,"468,352.8 ","266,517.6 ","261,612.0 ","219,131.1 ","21,708.6 ","74,360.9 ","1,997.3 ","85,095.3 ","40,551.8 ",16.0 ,"-16,228.1 ","45,699.1 ","61,927.2 ","-5,666.5 ",,"20,137.6 ","488,490.4 ","7,568.2 ","12,001.4 ","4,433.2 ","496,058.6 ",,"489,477.9 ","364,673.1 ","124,891.0 ",,"135,413.8 ",,"466,059.2 ",,,
4- 6.,"466,048.9 ","269,028.1 ","263,907.1 ","221,176.3 ","20,327.4 ","72,304.1 ","2,107.7 ","86,683.3 ","38,231.8 ",-259.8 ,"-16,506.8 ","43,992.2 ","60,499.0 ","-5,866.9 ",,"18,930.8 ","484,979.7 ","7,270.1 ","11,593.5 ","4,323.4 ","492,249.7 ",,"487,865.9 ","363,855.7 ","124,081.1 ",,"129,859.6 ",,"463,830.3 ",,,
7- 9.,"461,299.3 ","268,793.6 ","263,549.5 ","220,595.5 ","20,184.3 ","71,015.5 ","-2,073.8 ","87,111.1 ","38,244.9 ",-308.0 ,"-15,752.4 ","42,997.4 ","58,749.7 ","-5,915.9 ",,"18,595.9 ","479,895.2 ","7,249.7 ","11,332.3 ","4,082.6 ","487,144.9 ",,"482,644.0 ","358,297.8 ","124,494.5 ",,"128,378.9 ",,"462,803.4 ",,,
10-12.,"459,885.4 ","268,509.7 ","263,246.0 ","220,074.2 ","20,270.6 ","68,012.9 ","-1,010.6 ","88,315.3 ","37,293.5 ",-49.4 ,"-14,788.1 ","42,190.9 ","56,979.1 ","-6,668.4 ",,"19,574.1 ","479,459.4 ","7,726.3 ","11,354.4 ","3,628.1 ","487,185.7 ",,"480,702.3 ","355,916.2 ","124,974.5 ",,"124,410.7 ",,"460,290.9 ",,,
2002/ 1- 3.,"460,703.4 ","269,632.4 ","264,454.8 ","221,041.2 ","20,058.5 ","67,489.3 ","-3,055.7 ","88,531.3 ","37,718.9 ",-121.2 ,"-13,415.8 ","44,083.4 ","57,499.3 ","-6,134.3 ",,"19,648.5 ","480,351.9 ","7,523.8 ","10,882.4 ","3,358.6 ","487,875.7 ",,"479,801.5 ","354,454.9 ","125,558.0 ",,"124,064.9 ",,"462,932.2 ",,,
4- 6.,"464,093.0 ","271,762.2 ","266,731.1 ","223,075.7 ","20,167.9 ","66,458.3 ","-2,501.0 ","88,910.8 ","36,741.8 ",-29.6 ,"-11,901.8 ","47,297.9 ","59,199.7 ","-5,515.6 ",,"19,718.3 ","483,811.3 ","6,754.8 ","10,267.0 ","3,512.2 ","490,566.2 ",,"481,024.6 ","356,122.1 ","125,080.9 ",,"122,181.4 ",,"465,774.5 ",,,
7- 9.,"465,567.4 ","272,095.2 ","267,164.6 ","223,299.1 ","20,015.0 ","67,467.3 ","-1,619.6 ","89,584.2 ","36,615.1 ",-71.5 ,"-13,389.7 ","47,615.1 ","61,004.8 ","-5,128.4 ",,"19,815.2 ","485,382.6 ","6,845.0 ","10,580.6 ","3,735.6 ","492,227.6 ",,"483,626.7 ","358,179.5 ","125,620.2 ",,"122,988.6 ",,"466,502.6 ",,,
10-12.,"466,778.7 ","271,415.9 ","266,456.9 ","222,389.5 ","19,681.8 ","67,661.0 ",270.8 ,"89,387.4 ","36,060.4 ",-226.5 ,"-12,713.0 ","49,260.8 ","61,973.8 ","-4,759.2 ",,"20,199.7 ","486,978.4 ","6,557.6 ","10,189.8 ","3,632.2 ","493,536.0 ",,"483,779.0 ","359,127.8 ","124,793.5 ",,"122,377.6 ",,"466,158.2 ",,,
2003/ 1- 3.,"467,167.9 ","272,794.7 ","267,680.3 ","223,379.4 ","19,477.2 ","67,830.6 ",-531.8 ,"89,897.3 ","34,868.6 ",-101.5 ,"-12,634.7 ","49,897.1 ","62,531.8 ","-4,432.6 ",,"18,795.5 ","485,963.4 ","7,207.2 ","10,606.7 ","3,399.5 ","493,170.5 ",,"483,900.6 ","359,758.0 ","124,272.1 ",,"121,261.5 ",,"467,170.8 ",,,
4- 6.,"470,094.9 ","272,010.2 ","266,707.5 ","222,200.3 ","19,626.6 ","69,026.5 ",-819.1 ,"90,670.7 ","34,991.7 ",50.0 ,"-10,418.7 ","50,005.3 ","60,424.0 ","-5,043.1 ",,"19,326.4 ","489,421.2 ","7,368.0 ","10,578.8 ","3,210.9 ","496,789.2 ",,"485,201.8 ","360,078.7 ","125,276.0 ",,"122,762.4 ",,"470,254.0 ",,,
7- 9.,"471,909.3 ","271,983.9 ","266,548.6 ","221,786.9 ","20,062.0 ","67,923.7 ","1,900.2 ","91,014.5 ","33,995.2 ",-155.0 ,"-10,044.7 ","51,801.3 ","61,846.0 ","-4,770.7 ",,"19,484.9 ","491,394.1 ","8,842.4 ","11,980.2 ","3,137.8 ","500,236.5 ",,"486,187.4 ","361,767.7 ","124,544.4 ",,"121,076.3 ",,"469,837.1 ",,,
10-12.,"477,135.7 ","275,676.2 ","270,191.0 ","225,280.7 ","19,658.7 ","71,007.8 ",-743.1 ,"91,424.4 ","33,228.8 ",-539.4 ,"-8,753.1 ","54,380.1 ","63,133.3 ","-3,824.6 ",,"19,840.1 ","496,975.8 ","7,874.1 ","10,952.8 ","3,078.7 ","504,849.9 ",,"489,768.1 ","365,874.2 ","123,974.5 ",,"123,219.4 ",,"477,596.3 ",,,
2004/ 1- 3.,"480,505.8 ","275,435.7 ","269,987.5 ","224,826.4 ","19,753.0 ","70,872.1 ","2,857.6 ","91,830.0 ","31,693.0 ",-447.0 ,"-7,930.3 ","57,059.8 ","64,990.1 ","-3,558.3 ",,"19,295.5 ","499,801.2 ","8,747.6 ","11,889.1 ","3,141.5 ","508,548.9 ",,"491,802.6 ","368,856.5 ","122,979.8 ",,"121,714.4 ",,"477,757.5 ",,,
4- 6.,"480,573.9 ","275,839.4 ","270,447.1 ","225,139.9 ","20,179.1 ","70,793.2 ","1,079.5 ","91,565.8 ","31,487.1 ",-62.8 ,"-7,155.2 ","58,900.4 ","66,055.6 ","-3,152.3 ",,"18,367.5 ","498,941.4 ","9,477.3 ","12,766.7 ","3,289.4 ","508,418.6 ",,"490,684.7 ","367,944.8 ","122,775.1 ",,"121,827.1 ",,"479,136.9 ",,,
7- 9.,"483,547.7 ","278,031.0 ","272,659.6 ","227,182.2 ","20,193.4 ","71,508.2 ","2,055.9 ","91,964.9 ","30,891.0 ",-68.2 ,"-8,073.2 ","59,458.9 ","67,532.1 ","-2,955.4 ",,"18,422.3 ","501,970.0 ","9,725.3 ","13,276.9 ","3,551.6 ","511,695.3 ",,"494,371.9 ","371,768.2 ","122,605.8 ",,"122,016.3 ",,"481,257.0 ",,,
10-12.,"482,570.3 ","276,860.2 ","271,468.3 ","225,860.1 ","20,072.3 ","72,989.6 ","1,838.3 ","91,897.3 ","30,482.4 ",42.3 ,"-9,228.3 ","60,255.9 ","69,484.1 ","-2,383.8 ",,"18,866.8 ","501,437.2 ","10,134.8 ","13,873.5 ","3,738.7 ","511,571.9 ",,"494,027.4 ","371,797.1 ","122,223.6 ",,"123,052.6 ",,"480,398.9 ",,,
2005/ 1- 3.,"484,935.1 ","277,814.1 ","272,373.5 ","226,646.9 ","19,917.2 ","75,325.8 ","1,174.0 ","92,795.6 ","29,837.4 ",118.8 ,"-9,533.1 ","59,642.3 ","69,175.4 ","-2,514.8 ",,"17,886.2 ","502,821.3 ","9,715.7 ","14,043.3 ","4,327.6 ","512,537.1 ",,"496,944.4 ","374,359.2 ","122,568.9 ",,"124,697.9 ",,"483,300.9 ",,,
4- 6.,"488,151.4 ","279,068.2 ","273,553.8 ","227,681.8 ","19,627.6 ","77,950.7 ","1,250.3 ","92,425.2 ","27,978.3 ",-25.1 ,"-8,170.3 ","62,202.6 ","70,372.8 ","-1,953.7 ",,"16,081.2 ","504,232.6 ","10,818.8 ","15,407.6 ","4,588.8 ","515,051.4 ",,"498,471.8 ","378,076.9 ","120,307.8 ",,"125,361.7 ",,"486,540.7 ",,,
7- 9.,"492,837.7 ","281,781.6 ","276,206.3 ","230,160.3 ","20,008.4 ","79,430.2 ",758.4 ,"92,255.3 ","28,412.2 ",30.0 ,"-8,258.3 ","64,168.3 ","72,426.6 ","-1,580.0 ",,"14,842.6 ","507,680.3 ","11,634.6 ","16,177.8 ","4,543.3 ","519,314.9 ",,"502,888.6 ","382,189.5 ","120,591.3 ",,"127,653.6 ",,"491,626.9 ",,,
10-12.,"493,727.8 ","281,789.9 ","276,177.7 ","229,983.1 ","20,246.9 ","78,206.9 ",413.3 ,"92,669.6 ","27,808.2 ",7.4 ,"-6,051.0 ","66,432.9 ","72,483.8 ","-1,363.5 ",,"13,812.0 ","507,539.8 ","12,416.9 ","17,579.6 ","5,162.7 ","519,956.7 ",,"501,368.8 ","380,854.9 ","120,413.1 ",,"126,041.8 ",,"492,843.8 ",,,
2006/ 1- 3.,"494,638.9 ","283,078.0 ","277,459.1 ","231,141.6 ","20,113.6 ","77,686.1 ",-319.6 ,"92,371.3 ","28,578.7 ",58.8 ,"-5,849.1 ","67,920.6 ","73,769.7 ","-1,078.9 ",,"11,917.4 ","506,556.3 ","13,115.9 ","18,713.2 ","5,597.3 ","519,672.2 ",,"501,787.1 ","380,799.2 ","120,897.3 ",,"126,118.7 ",,"494,391.0 ",,,
4- 6.,"495,843.4 ","282,895.6 ","277,247.1 ","230,782.9 ","19,979.2 ","79,280.4 ",35.0 ,"92,702.6 ","27,454.0 ",-58.9 ,"-5,662.6 ","69,071.7 ","74,734.3 ",-781.8 ,,"11,815.0 ","507,658.3 ","12,900.7 ","18,916.7 ","6,016.0 ","520,559.1 ",,"502,593.4 ","382,437.5 ","120,043.9 ",,"126,545.8 ",,"495,365.8 ",,,
